Country_Code,Country,DESC,Description,Sex,Age,Minutes_per_day
EST,Estonia,PAW,Paid work or study,Men,15-64,264.07236
IND,India,PAW,Paid work or study,Women,15-64,184.70367
IND,India,PAW,Paid work or study,Men,15-64,390.57108
LVA,Latvia,PAW,Paid work or study,Women,15-64,288.46832
LVA,Latvia,PAW,Paid work or study,Men,15-64,376.93106
SVN,Slovenia,PAW,Paid work or study,Women,15-64,234.16261
SVN,Slovenia,PAW,Paid work or study,Men,15-64,299.83286
ZAF,South Africa,PAW,Paid work or study,Women,15-64,195.03345
ZAF,South Africa,PAW,Paid work or study,Men,15-64,294.16318
LUX,Luxembourg,UPW,Unpaid work,Women,15-64,239.61743
LUX,Luxembourg,UPW,Unpaid work,Men,15-64,121.07518
LTU,Lithuania,UPW,Unpaid work,Women,15-64,291.95166
LTU,Lithuania,UPW,Unpaid work,Men,15-64,151.61081
LUX,Luxembourg,PCA,Personal care,Women,15-64,694.01245
LUX,Luxembourg,PCA,Personal care,Men,15-64,676.8634
LTU,Lithuania,PCA,Personal care,Women,15-64,644.79767
LTU,Lithuania,PCA,Personal care,Men,15-64,644.32349
LUX,Luxembourg,LEI,Leisure,Women,15-64,253.02322
LUX,Luxembourg,LEI,Leisure,Men,15-64,299.04138
LTU,Lithuania,LEI,Leisure,Women,15-64,215.29886
LTU,Lithuania,LEI,Leisure,Men,15-64,282.19785
LUX,Luxembourg,OTH,Other,Women,15-64,14.512388
LUX,Luxembourg,OTH,Other,Men,15-64,13.025016
LTU,Lithuania,OTH,Other,Women,15-64,8.6944227
LTU,Lithuania,OTH,Other,Men,15-64,7.6051412
LUX,Luxembourg,PAW,Paid work or study,Women,15-64,238.86639
LUX,Luxembourg,PAW,Paid work or study,Men,15-64,329.99503
LTU,Lithuania,PAW,Paid work or study,Women,15-64,279.25739
LTU,Lithuania,PAW,Paid work or study,Men,15-64,354.26273
